Rows	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
eve_stripe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08E-05	5.02E-05	0.000233004	0.00108055	0.00499593	0.0227815	0.0977855	0.336439	0.709541	0.9323	0.999939	0.9323	0.709541	0.336439	0.0977855	0.0227815	0.00499593	0.00108055	0.000233004	5.02E-05	1.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eve_stripe3_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14E-06	2.85E-05	0.000158541	0.000880273	0.00487008	0.0264221	0.129782	0.438445	0.766524	0.885815	0.766524	0.438445	0.129782	0.0264221	0.00487008	0.000880273	0.000158541	2.85E-05	5.14E-06	0	0	0	0	0	0	0	0	0	0	1.08E-05	3.50E-05	0.000113433	0.000367175	0.00118754	0.00383055	0.0122505	0.0381416	0.109817	0.261679	0.456722	0.593285	0.65364	0.674843	0.65364	0.593285	0.456722	0.261679	0.109817	0.0381416	0.0122505	0.00383055	0.00118754	0.000367175	0.000113433	3.50E-05	1.08E-05	0	0	0	0
eve_stripe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-05	6.09E-05	0.000237096	0.000923108	0.00358652	0.0138229	0.0516825	0.173997	0.443219	0.735177	0.884766	0.933519	0.884766	0.735177	0.443219	0.173997	0.0516825	0.0138229	0.00358652	0.000923108	0.000237096	6.09E-05	1.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eve_stripe4_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08E-06	5.28E-05	0.000306534	0.00177807	0.0102135	0.0555731	0.235554	0.531953	0.678928	0.531953	0.235554	0.0555731	0.0102135	0.00178909	0.000350573	0.00022865	0.00071115	0.00279521	0.0110181	0.0417993	0.139017	0.332744	0.511	0.590141	0.511	0.332744	0.139017	0.0417993	0.0110181	0.00279521	0.000702073	0.000175894	4.40E-05	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eve_stripe5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-05	5.44E-05	0.000260163	0.00124223	0.00589483	0.0271788	0.110907	0.311643	0.501387	0.574525	0.501387	0.311643	0.110907	0.0271788	0.00589483	0.00124223	0.000260163	5.44E-05	1.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15E-05	6.58E-05	0.00020084	0.000612941	0.00186895	0.00568317	0.0171394	0.050444	0.138745	0.32517	0.580744	0.782061	0.882231	0.92086	0.882231	0.782061	0.580744	0.32517	0.138745	0.050444	0.0171394	0.00568317	0.00186895	0.000612941	0.00020084	6.58E-05	2.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5638E-06	3.10921E-05	0.000127799	0.000525143	0.002155283	0.008802158	0.035240823	0.130855173	0.384894047	0.729339416	0.932304328	1	0.932304328	0.729339416	0.384894047	0.130855173	0.035240823	0.008802158	0.002155283	0.000525143	0.000127799	3.10921E-05	7.5638E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0	0	0	0	0	8.49E-06	5.08E-05	0.000303648	0.00181396	0.0107562	0.0611004	0.28069	0.702954	0.939087	0.994949	9.39E-01	7.03E-01	0.28069	0.0611004	0.0107562	0.00181396	0.000303648	5.08E-05	8.49E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	2.63E-05	8.24E-05	0.000258031	0.000807592	0.00252317	0.00784025	0.0239578	0.069701	0.178511	0.355864	0.521162	0.611897	0.647913	6.12E-01	5.21E-01	0.355864	0.178511	0.069701	0.0239578	0.00784025	0.00252317	0.000807592	0.000258031	8.24E-05	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0	0	0	0	0	0	8.56E-06	6.58E-05	0.000505176	0.00386295	0.0285873	0.170995	0.486045	0.639315	0.486045	0.170995	0.0285873	3.86E-03	5.05E-04	6.58E-05	8.56E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h_stripe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00	0	0	0	1.48E-05	6.16E-05	0.000257217	0.00107287	0.00445758	0.0182263	0.0700001	0.218886	4.46E-01	5.94E-01	0.644644	0.593593	0.446067	0.218886	0.0700001	0.0182263	0.00445758	0.00107287	0.000257217	6.16E-05	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
